OUT_ID	B11	B110	B111	B12	B13	B14	B15	B16	B17	B18	B19	BM1	BM2	BM3	BM4	BM5	BM6	BM7	BR11	BR12	BR13	BR14	BR15	BR16	BR17	BR18	BR21	BR22	BR23	BR24	BR25	BR26	BR27	BR28	BT21	BT22	BT23	BT24	BT25	BT26	BT27	BT31	BT32	BT33	BT34	BT35	BT36	BT37
f__Methanobacteriaceae;g__Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Methanobacteriaceae;g__Methanosphaera	0	0	0	0	0	0	0	71	107	9	0	0	0	10	140	0	0	5	0	0	0	7	42	34	0	49	0	99	44	134	166	179	142	208	0	0	48	17	114	87	13	0	71	44	119	61	0	51
k__Bacteria;__;__;__;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	63	0	34	68	0	0	2	0	0	0	0	0	0	0	34	0	0	0	0	19	24	0	0	0	0	0
k__Bacteria;p__;c__;o__;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	11	0	0	7	0	0	0	0	0	0	6	0	0	0	0	0	0	0
f__Actinomycetaceae;g__Actinobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Actinomycetaceae;g__Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Micrococcaceae;g__Rothia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Bifidobacteriaceae;__	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Bifidobacteriaceae;g__Bifidobacterium	24	6267	6136	41	139	164	3211	3570	2072	15019	9573	0	0	0	4620	6459	12255	12829	20	14	0	0	20	0	0	32	0	0	15	24	0	27	20	0	18	0	118	73	74	103	113	0	0	0	111	7550	11979	4295
f__Coriobacteriaceae;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
f__Coriobacteriaceae;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	8	8	22	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	24	28	0	0	0
f__Coriobacteriaceae;g__Adlercreutzia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	44	32	0	0	0	0	15	0	0	0	0	34	0	0	0	0	0	0	0	22	0	40	0	0	0	0	0	0	0	0	0	0
f__Coriobacteriaceae;g__Collinsella	0	26	0	73	163	125	180	173	0	85	0	0	237	145	183	180	0	37	0	249	101	230	66	67	0	22	0	181	70	0	28	0	0	20	0	298	278	220	268	226	0	0	779	1063	737	270	182	133
f__Coriobacteriaceae;g__Eggerthella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Coriobacteriaceae;g__Slackia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Bacteroidales;__;__	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
